Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Credit amount,Duration,Purpose
512,26,1,2,2,1,2687,15,business
513,20,1,2,2,1,585,12,radio/TV
514,54,1,2,0,1,2255,24,car
515,37,0,2,0,1,609,6,car
516,40,1,1,0,1,1361,6,car
517,23,0,2,2,1,7127,36,furniture/equipment
518,43,1,2,0,2,1203,6,car
519,36,1,2,1,1,700,6,radio/TV
520,44,1,2,1,1,5507,24,repairs
521,24,0,2,0,1,3190,18,radio/TV
522,53,1,2,1,1,7119,48,furniture/equipment
523,23,0,2,0,2,3488,24,car
524,26,0,1,0,1,1113,18,radio/TV
525,30,1,2,0,1,7966,26,car
526,31,0,2,0,2,1532,15,education
527,42,1,1,0,1,1503,4,radio/TV
528,31,1,2,2,1,2302,36,radio/TV
529,41,1,1,0,1,662,6,car
530,32,1,2,0,1,2273,36,education
531,28,0,2,2,2,2631,15,car
532,41,1,2,2,1,1503,12,car
533,26,1,2,0,2,1311,24,radio/TV
534,25,1,2,0,1,3105,24,radio/TV
535,33,1,2,2,1,2319,21,education
536,75,0,3,0,1,1374,6,car
537,37,0,2,0,1,3612,18,furniture/equipment
538,42,1,3,1,1,7763,48,car
539,45,0,1,0,1,3049,18,furniture/equipment
540,23,1,2,2,1,1534,12,radio/TV
541,60,1,2,1,1,2032,24,car
542,31,1,2,0,1,6350,30,furniture/equipment
543,34,1,1,0,1,2864,18,furniture/equipment
544,61,1,1,0,1,1255,12,car
545,43,1,2,1,1,1333,24,car
546,37,0,2,0,1,2022,24,car
547,32,1,2,0,1,1552,24,radio/TV
548,24,0,1,0,1,626,12,radio/TV
549,35,1,2,1,4,8858,48,car
550,23,0,2,0,4,996,12,repairs
551,45,1,1,0,4,1750,6,radio/TV
552,34,1,2,0,1,6999,48,radio/TV
553,27,1,2,0,2,1995,12,car
554,67,0,3,0,1,1199,9,education
555,22,1,2,0,1,1331,12,radio/TV
556,28,0,2,0,2,2278,18,car
557,29,0,2,0,1,5003,21,car
558,27,1,2,0,1,3552,24,furniture/equipment
559,31,1,1,0,1,1928,18,furniture/equipment
560,49,1,2,1,1,2964,24,car
561,24,1,1,2,1,1546,24,radio/TV
562,29,0,2,0,1,683,6,radio/TV
563,37,1,2,1,2,12389,36,car
564,37,1,3,0,2,4712,24,business
565,23,0,2,2,2,1553,24,radio/TV
566,36,1,2,0,1,1372,12,car
567,34,1,2,0,3,2578,24,radio/TV
568,41,1,2,0,1,3979,48,radio/TV
569,31,0,2,0,1,6758,48,radio/TV
570,23,0,1,2,1,3234,24,furniture/equipment
571,38,1,2,0,1,5954,30,radio/TV
572,26,0,3,2,1,5433,24,car
573,22,0,1,0,1,806,15,business
574,27,1,1,0,1,1082,9,radio/TV
575,24,0,2,0,1,2788,15,furniture/equipment
576,27,0,2,0,1,2930,12,radio/TV
577,33,0,2,0,1,1927,24,education
578,27,1,2,0,1,2820,36,car
579,27,1,1,0,1,937,24,education
580,30,1,2,0,1,1056,18,car
581,49,1,1,0,1,3124,12,car
582,26,0,2,2,1,1388,9,furniture/equipment
583,33,1,1,2,1,2384,36,repairs
584,52,0,3,1,1,2133,12,car
585,20,0,2,2,1,2039,18,furniture/equipment
586,36,1,2,2,1,2799,9,car
587,21,1,1,0,1,1289,12,furniture/equipment
588,47,1,1,0,1,1217,18,domestic appliances
589,60,1,2,0,1,2246,12,furniture/equipment
590,58,0,1,0,1,385,12,radio/TV
591,42,0,2,2,3,1965,24,car
592,36,0,1,0,3,1572,21,business
593,20,0,1,2,1,2718,24,car
594,40,1,3,0,2,1358,24,vacation/others
595,32,0,1,0,2,931,6,car
596,23,0,2,2,1,1442,24,car
597,36,1,1,0,1,4241,24,business
598,31,1,2,0,1,2775,18,car
599,32,1,2,1,1,3863,24,business
600,45,0,2,0,1,2329,7,radio/TV
601,30,0,2,0,1,918,9,furniture/equipment
602,34,0,1,1,1,1837,24,education
603,28,0,3,0,1,3349,36,furniture/equipment
604,23,0,2,0,1,1275,10,furniture/equipment
605,22,1,2,0,4,2828,24,furniture/equipment
606,74,1,3,0,1,4526,24,business
607,50,0,2,1,2,2671,36,radio/TV
608,33,1,2,0,1,2051,18,radio/TV
609,45,1,2,1,2,1300,15,car
610,22,0,2,0,2,741,12,domestic appliances
611,48,0,1,1,2,1240,10,car
612,29,0,2,0,3,3357,21,radio/TV
613,22,0,2,2,1,3632,24,car
614,22,0,2,0,1,1808,18,furniture/equipment
615,48,1,3,0,1,12204,48,business
616,27,1,3,1,1,9157,60,radio/TV
617,37,1,2,2,1,3676,6,car
618,21,0,2,2,2,3441,30,furniture/equipment
619,49,1,1,0,1,640,12,car
620,27,1,2,0,1,3652,21,business
621,32,1,2,0,1,1530,18,car
622,38,1,2,0,1,3914,48,business
623,22,0,2,2,1,1858,12,furniture/equipment
624,65,1,2,1,1,2600,18,radio/TV
625,35,1,2,0,1,1979,15,radio/TV
626,41,1,2,0,1,2116,6,furniture/equipment
627,29,1,2,0,2,1437,9,car
628,36,1,2,0,4,4042,42,furniture/equipment
629,64,1,1,0,1,3832,9,education
630,28,0,2,0,1,3660,24,radio/TV
631,44,1,2,0,1,1553,18,furniture/equipment
632,23,1,2,0,1,1444,15,radio/TV
633,19,0,2,2,1,1980,9,furniture/equipment
634,25,0,1,0,1,1355,24,car
635,47,1,2,0,1,1393,12,education
636,28,0,2,0,4,1376,24,radio/TV
637,21,1,2,0,1,15653,60,radio/TV
638,34,0,2,0,1,1493,12,radio/TV
639,26,1,2,0,1,4370,42,radio/TV
640,27,0,0,0,1,750,18,education
641,38,1,1,0,1,1308,15,repairs
642,40,1,3,0,2,4623,15,education
643,33,1,2,0,1,1851,24,radio/TV
644,32,1,3,0,1,1880,18,radio/TV
645,27,1,2,2,1,7980,36,business
646,32,1,2,0,1,4583,30,furniture/equipment
647,26,0,2,0,4,1386,12,car
648,38,1,2,1,1,947,24,car
649,40,1,1,2,1,684,12,education
650,50,1,3,1,1,7476,48,education
651,37,1,1,0,1,1922,12,furniture/equipment
652,45,1,2,0,1,2303,24,car
